item,patent_id,title,abstract,label,confidence,rationale,insufficient_info
190,US10769383B2,"Cluster-based word vector processing method, device, and apparatus","Embodiments of the present application disclose a cluster-based word vector processing method, apparatus, and device. Solutions are include: in a cluster having a server cluster and a worker computer cluster, in which each worker computer in the worker computer cluster separately reads some corpuses in parallel, extracts a word and context words of the word from the read corpuses, obtains corresponding word vectors from a server in the server cluster, and trains the corresponding word vectors, and the server cluster updates word vectors of same words that are stored before the training according to training results of one or more respective worker computers with respect to the word vectors of the same words.",,,,
191,US11586877B2,Systems using hash keys to preserve privacy across multiple tasks,"A system for using hash keys to preserve privacy across multiple tasks is disclosed. The system may provide training batch(es) of input observations each having a customer request and stored task to an encoder, and assign a hash key(s) to each of the stored tasks. The system may provide a new batch of input observations with a new customer request and new task to the encoder. The encoder may generate a new hash key assigned to the new customer request and determine whether any existing hash key corresponds with the new hash key. If so, the system may associate the new batch of input observations with the corresponding hash key and update the corresponding hash key such that it is also configured to provide access to the new batch of input observations. If not, the system may generate a new stored task and assign the new hash key to it.",,,,
192,US11580764B2,Self-supervised document-to-document similarity system,"Examples provide a self-supervised language model for document-to-document similarity scoring and ranking long documents of arbitrary length in an absence of similarity labels. In a first stage of a two-staged hierarchical scoring, a sentence similarity matrix is created for each paragraph in the candidate document. A sentence similarity score is calculated based on the sentence similarity matrix. In the second stage, a paragraph similarity matrix is constructed based on aggregated sentence similarity scores associated with the first candidate document. A total similarity score for the document is calculated based on the normalize the paragraph similarity matrix for each candidate document in a collection of documents. The model is trained using a masked language model and intra-and-inter document sampling. The documents are ranked based on the similarity scores for the documents.",,,,
193,US11403531B2,Factorized variational autoencoders,"The disclosure provides an approach for learning latent representations of data using factorized variational autoencoders (FVAEs). The FVAE framework builds a hierarchical Bayesian matrix factorization model on top of a variational autoencoder (VAE) by learning a VAE that has a factorized representation so as to compress the embedding space and enhance generalization and interpretability. In one embodiment, an FVAE application takes as input training data comprising observations of objects, and the FVAE application learns a latent representation of such data. In order to learn the latent representation, the FVAE application is configured to use a probabilistic VAE to jointly learn a latent representation of each of the objects and a corresponding factorization across time and identity.",,,,
194,US10884769B2,Photo-editing application recommendations,"Photo-editing application recommendations are described. A language modeling system generates a photo-editing language model based on application usage data collected from existing users of a photo-editing application. The language modeling system generates the model by applying natural language processing to words that are selected to represent photo-editing actions described by the application usage data. The natural language processing involves partitioning contiguous sequences of the words into sentences of the modeled photo-editing language and partitioning contiguous sequences of the sentences into paragraphs of the modeled photo-editing language. The language modeling system deploys the photo-editing language model for incorporation with the photo-editing application. The photo-editing application uses the model to determine a current workflow in real-time as input is received to edit digital photographs, and recommends tools for carrying out the current workflow.",,,,
195,US11443120B2,Multimodal entity and coreference resolution for assistant systems,"In one embodiment, a method includes accessing visual data from a client system associated with a user, wherein the visual data comprises images portraying one or more objects, receiving, from the client system, a user request, wherein the user request comprises a coreference to a target object, resolving the coreference to the target object from among the one or more objects, resolving the target object to a specific entity, and sending, to the client system, instructions for providing a response to the user request, wherein the response comprises attribute information about the specific entity.",,,,
196,US10579729B2,"Methods and system for fast, adaptive correction of misspells","Embodiments are directed to a spellcheck module for an enterprise search engine. The spellcheck module includes a candidate suggestion generation module that generates a number of candidate words that may be the correction of the misspelled word. The candidate suggestion generation module implements an algorithm for indexing, searching, and storing terms from an index with a constrained edit distance, using words in a collection of documents. The spellcheck module further includes a candidate suggestion ranking module. In one embodiment, a non-contextual approach using a linear combination of distance and probability scores is utilized; while in another embodiment, a context sensitive approach accounting for real-word misspells and adopting deep learning models is utilized. In use, a query is provided to the spellcheck module to generate results in the form of a ranked list of generated candidate entries that may be an entry a user accidentally misspelled.",,,,
197,US10062032B2, Question resolution processing in deep question answering systems," System, method, and computer program product for performing an operation, the operation comprising receiving, by a deep question answering system, a question not specifying an element of input data, identifying a set of possible values for the element of input data, generating, by the deep &hellip;",,,,
198,US10776334B2,"Random walking and cluster-based random walking method, apparatus and device","Embodiments of the present specification disclose random walking and a cluster-based random walking method, apparatus and device. A solution includes: obtaining information about each node included in graph data, generating, according to the information about each node, an index vector reflecting a degree value of a respective node, then generating an element vector reflecting an identifier of an adjacent node of the node, and generating a random sequence according to the index vector and the element vector, to implement random walks in the graph data. The solution is applicable to clusters and individual machines.",,,,
199,US11253778B2,Providing content,The present disclosure provides method and apparatus for providing content in an electrical game. Current interface information of the electrical game may be obtained. Content associated with the electrical game may be provided in a chat flow based on at least the current interface information.,,,,
200,US11036935B2,"Argument structure extension device, argument structure extension method, program, and data structure",An argumentation structure can be automatically extended.,,,,
